안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생,신체위험,차량위험,인당관리비,현장특성
1,0,0,2,5,4,4,4,0,0,0,1,1,6,7,0.0,0,2,1,0.00047071428571428573,1
2,2,0,2,5,5,5,5,0,0,0,2,2,1,6,0.0,0,3,1,0.005,1
2,2,1,2,3,3,2,2,0,1,1,3,2,6,3,20.0,1,2,3,0.00118549,1
2,2,0,2,5,5,5,5,0,1,1,1,2,4,4,40.0,0,1,2,0.00033468,1
2,2,0,2,5,5,5,5,0,0,0,1,2,3,1,60.0,1,3,3,0.0004484,1
2,2,0,2,4,5,5,3,0,0,1,2,1,2,1,0.0,0,2,4,0.00224265,1
2,2,1,2,5,5,5,4,1,1,1,3,2,4,3,10.0,1,2,3,0.02857142285714286,1
2,2,0,2,3,5,3,5,0,0,0,2,2,4,3,0.0,0,2,2,0.4999999,1
2,2,1,2,4,5,5,5,1,0,0,2,2,1,4,37.5,1,3,2,0.001,1
2,2,1,2,5,4,5,4,0,0,1,2,1,4,1,9.8,0,3,3,0.0004836274509803922,1
2,2,0,2,4,4,4,4,1,1,1,2,2,6,4,3.33,0,3,3,0.00033246666666666665,1
2,2,0,2,4,4,4,4,1,0,0,2,2,2,4,50.0,0,2,2,0.3333332666666667,1
2,2,1,2,5,4,5,5,0,0,1,3,1,1,5,10.0,0,1,3,0.00956385,1
2,1,0,0,5,5,5,5,0,0,0,1,2,5,4,0.0,0,2,1,2.6600000000000003e-05,2
2,2,0,2,4,3,4,4,0,0,0,1,2,3,3,43.48,0,2,2,0.08695650434782609,1
2,2,0,2,3,4,5,3,1,1,1,3,3,5,1,24.55,1,3,3,0.0012975818181818182,1
2,2,1,2,5,5,5,5,0,0,1,2,1,6,6,0.0,0,4,1,0.0017327272727272727,1
2,2,0,0,4,4,4,4,0,0,0,2,1,1,7,0.0,0,3,2,0.0035905,1
2,2,1,2,4,5,5,3,0,0,1,3,1,1,5,0.0,0,2,2,0.0081504,1
2,2,0,2,5,4,4,4,0,1,1,1,1,3,4,0.0,1,2,2,0.19999996,1
2,2,0,2,5,5,5,5,0,0,1,2,2,2,3,15.0,0,2,4,0.0015968,1
2,1,0,2,5,4,5,5,1,0,0,2,2,2,3,20.0,0,2,1,0.00078,1
1,0,0,1,4,3,3,4,1,1,1,1,2,2,3,40.0,0,1,3,0.6666665333333334,1
2,2,1,2,5,3,4,2,1,1,1,3,1,6,1,27.91,1,2,4,0.0008372093023255813,1
1,2,0,2,4,4,4,5,1,1,1,1,2,6,3,35.71,0,2,1,0.0008571428571428571,1
1,0,0,0,5,3,3,4,1,1,1,1,2,2,1,0.0,0,1,2,1.5e-05,1
2,1,1,2,4,4,4,4,0,0,1,2,1,2,5,0.0,0,2,2,0.00275,1
2,2,1,2,4,4,4,4,0,0,0,2,3,3,3,4.96,1,3,3,0.00041476859504132235,1
1,0,0,2,4,4,4,4,0,0,1,2,2,2,3,0.0,0,2,2,0.8333331666666667,1
2,2,0,2,3,4,5,3,0,1,1,3,2,3,1,23.08,1,2,3,0.03846153076923077,1
2,2,0,2,5,3,4,4,0,0,1,3,2,1,4,60.0,1,3,4,0.003336,1
2,2,0,2,5,5,5,4,1,1,1,2,2,1,1,0.0,0,3,3,0.00224,1
2,2,1,2,3,5,4,4,0,0,0,2,1,1,7,0.0,0,3,3,0.0031,1
2,2,0,2,4,4,5,4,0,1,1,3,1,3,5,4.0,0,1,2,0.0026666666666666666,1
2,0,0,2,5,4,5,4,0,0,0,1,2,6,7,0.0,0,2,1,1.111110888888889,2
2,2,0,0,5,4,5,5,0,0,1,2,2,1,1,0.0,0,3,3,0.0061952,1
2,2,0,2,3,3,3,4,0,1,1,1,3,3,3,6.0,0,2,3,0.000338,1
1,0,0,2,4,4,4,4,0,0,1,1,2,2,3,20.0,0,1,1,0.0009113,1
2,2,0,2,4,3,4,4,0,0,0,2,2,2,1,80.0,0,1,2,0.0015,1
2,2,0,2,4,4,4,4,0,0,1,1,3,1,1,25.0,1,3,3,0.0008,1
2,2,0,2,2,4,2,5,0,1,1,1,1,4,6,0.0,0,1,4,0.00022824,1
1,0,1,2,5,5,5,5,0,0,1,1,2,1,3,0.0,0,2,2,0.0017714,1
2,2,0,2,5,5,5,4,1,0,1,2,1,2,4,0.0,0,2,2,0.0012025999999999998,1
1,2,0,2,4,3,4,3,0,1,1,1,2,3,3,4.17,0,3,3,0.08333331666666667,1
2,2,0,2,5,4,5,5,0,1,1,1,2,3,4,43.33,1,2,2,0.0005103666666666667,1
2,2,0,2,4,4,4,4,0,1,1,2,2,3,3,12.5,1,3,3,0.0004048875,1
2,2,0,2,4,4,5,5,1,1,1,2,2,4,3,46.15,1,4,4,0.0007669846153846154,1
2,2,1,2,5,4,5,4,0,1,1,2,2,3,1,55.56,1,2,3,0.0009587888888888888,1
1,2,0,0,5,5,5,4,0,0,1,2,2,2,3,0.0,0,2,1,0.0022808888888888887,1
2,2,1,2,5,4,5,5,1,0,0,2,2,1,3,0.0,0,1,2,0.0070273,1
2,2,0,2,5,5,5,5,0,1,0,1,2,1,1,10.0,1,1,3,0.0015907,1
2,2,0,2,5,5,5,5,0,0,1,2,2,1,1,20.0,0,1,3,0.0017307,1
1,2,0,2,3,2,4,2,1,1,1,2,3,3,4,50.0,1,2,2,0.00046928,1
1,2,0,2,3,3,4,3,0,0,1,1,3,1,3,0.0,0,2,3,0.0011,1
2,2,1,2,4,4,4,3,1,0,1,3,3,1,4,6.67,0,3,3,0.007333333333333333,1
2,2,1,2,5,5,5,5,1,1,0,2,2,3,1,64.44,0,3,3,0.0009819333333333333,1
2,0,0,2,4,4,4,3,1,1,1,1,3,3,3,66.67,0,3,2,0.00019333333333333333,3
2,0,1,2,3,4,4,4,0,0,0,1,2,3,4,0.0,0,2,2,0.00025,1
2,2,0,2,4,5,5,5,1,1,1,2,2,2,1,40.0,1,2,1,0.00045346,1
2,2,1,2,5,5,5,5,0,0,1,2,2,6,3,0.0,0,3,4,0.0006006551724137932,1
1,0,1,0,4,1,4,4,0,1,0,1,2,1,3,50.0,0,2,3,0.0014745,1
1,2,1,2,4,4,4,5,0,1,1,2,2,3,3,33.33,1,2,3,0.0007384133333333333,1
1,2,1,2,5,4,5,4,0,1,1,2,2,4,3,37.5,1,1,1,0.0005131125,1
2,2,1,2,4,4,4,4,0,0,0,3,2,2,4,16.3,0,2,4,0.0013815217391304347,1
1,0,0,1,4,4,5,5,1,1,1,1,3,3,3,33.33,0,1,1,0.0002912666666666666,3
2,1,0,2,4,4,4,4,0,0,1,2,2,1,4,0.0,0,2,3,0.000436,1
2,2,0,2,5,5,5,4,0,0,1,2,3,2,2,30.0,0,3,2,0.00118,1
2,2,0,2,5,5,5,5,1,1,1,2,2,3,3,21.62,1,1,1,0.0007243243243243244,1
2,2,0,2,3,5,5,4,0,1,1,2,2,4,3,15.56,0,3,1,0.0004288888888888889,1
2,1,0,2,5,4,5,5,0,1,1,2,2,3,3,0.0,0,2,1,0.00035645714285714286,1
2,2,1,2,5,4,4,5,1,1,1,2,2,4,3,20.0,0,1,2,0.00035,1
1,0,0,2,4,3,4,3,0,1,1,1,2,4,3,0.0,1,2,3,0.0002926,1
2,2,0,2,5,5,5,4,0,0,1,1,2,2,3,0.0,0,3,4,0.00032109523809523805,1
2,2,0,2,4,4,4,4,0,0,1,3,1,4,5,14.55,0,2,4,0.006223927272727273,1
2,2,1,0,5,3,4,5,1,0,1,3,3,2,1,51.47,0,3,4,0.00125,1
2,2,1,2,5,4,3,4,0,1,1,2,2,6,4,5.56,1,2,3,0.00042896666666666667,1
1,0,0,2,5,5,5,5,1,1,1,1,1,2,4,66.67,0,2,2,0.00045076666666666665,1
0,2,0,2,3,3,3,4,0,0,1,1,1,4,6,0.0,1,2,4,0.0004166666666666667,2
1,2,0,2,3,4,4,4,0,1,0,1,2,3,1,53.33,0,1,2,0.0007792000000000001,1
2,2,1,1,2,2,5,4,0,1,1,3,3,5,1,18.42,1,3,3,0.0007368421052631579,1
2,2,1,1,4,4,5,5,0,0,0,3,2,1,1,0.0,0,2,3,0.008108108108108109,1
2,2,1,2,4,4,4,5,1,1,1,2,3,1,4,20.0,0,2,1,0.005495600000000001,1
2,2,1,2,4,4,4,3,1,1,1,2,1,1,4,0.0,0,2,2,0.003986233333333333,1
2,2,0,2,5,4,5,4,1,0,1,3,1,2,5,0.0,0,2,1,0.0085,1
2,2,0,2,4,3,4,4,0,0,1,1,1,2,4,0.0,1,3,2,6.2085e-05,1
2,0,0,2,5,4,5,4,0,1,1,1,2,2,4,3.33,0,3,2,4.903333333333333e-05,2
2,2,0,1,3,4,4,3,0,1,1,2,2,4,1,50.0,0,3,3,0.00035,1
2,2,1,2,4,4,5,5,1,0,0,2,2,2,1,16.67,0,2,3,0.0007,1
2,1,0,2,4,3,3,3,0,1,1,2,2,3,4,31.25,1,3,4,0.00075,1
2,2,0,2,4,4,4,4,1,0,1,3,2,1,1,0.0,0,3,2,0.15384612307692308,1
2,2,1,2,5,5,5,5,1,0,0,2,2,1,3,0.0,0,2,3,0.00630645,1
1,2,0,2,3,2,5,3,0,1,1,1,2,2,3,50.0,1,3,2,0.0005011666666666667,1
2,2,0,0,5,5,4,4,0,1,1,1,2,1,4,0.0,0,2,2,0.003958333333333334,1
1,2,1,2,5,5,5,5,0,0,1,2,1,3,3,0.0,0,1,3,0.0011828,1
2,2,1,2,5,4,5,4,0,1,1,3,1,4,5,28.67,1,3,4,0.0021622466666666664,1
1,1,0,2,4,3,4,3,0,1,1,2,2,2,1,45.45,1,2,2,0.000642290909090909,1
2,0,0,2,3,3,3,3,1,0,1,1,2,5,3,0.0,0,3,3,1.2964283121428555,2
2,1,1,1,3,3,3,3,0,1,1,2,1,2,1,55.56,0,3,5,0.0008892666666666666,1
2,2,1,2,5,5,5,5,0,1,1,2,2,6,4,0.0,0,2,3,0.00101,1
1,2,0,0,5,5,5,5,1,1,1,1,2,4,2,60.0,0,1,1,0.00178,1
2,2,0,2,4,4,4,2,1,1,1,3,1,3,5,18.18,0,3,3,0.002818181818181818,1
2,2,1,2,5,5,5,4,1,1,1,3,2,2,4,60.0,0,2,2,0.00910126,1
1,2,0,2,4,5,4,4,0,1,1,1,2,2,3,24.0,1,3,2,0.0006452000000000001,1
2,2,1,2,4,3,5,4,0,0,0,2,2,1,3,28.57,0,3,4,1.2964283121428555,1
2,2,0,2,4,3,4,4,1,0,0,3,3,3,2,22.22,1,2,2,0.007121893333333334,1
1,1,0,2,3,4,4,4,0,1,1,2,2,3,3,42.86,0,4,1,0.000788,1
1,2,0,2,3,4,5,4,0,1,0,1,2,5,4,33.33,1,3,3,0.0002607111111111111,1
2,2,0,2,5,5,5,5,0,0,1,2,2,6,2,13.33,1,3,3,0.0006855555555555556,1
2,2,1,2,4,3,4,3,1,1,1,3,3,4,1,50.0,0,3,2,0.0015564675,1
2,2,0,2,5,5,4,5,1,1,1,1,3,2,3,0.0,0,3,3,0.001653,1
2,2,1,2,3,4,4,3,1,0,1,2,2,1,3,0.0,0,3,3,0.4999999,1
1,0,0,2,4,3,3,3,1,1,1,1,2,5,1,50.0,0,3,3,0.0003863,1
1,2,0,2,3,3,5,5,1,1,1,1,2,2,3,50.0,0,5,3,0.0006144,1
2,2,0,2,5,5,5,5,0,0,1,2,2,3,4,6.67,1,2,2,0.0007503833333333333,1
2,1,0,2,4,4,4,3,0,1,1,1,2,4,3,50.0,0,3,1,0.0003926,1
2,2,0,2,4,3,4,3,0,1,1,2,2,3,4,16.67,0,3,2,0.0005977333333333333,1
2,2,1,2,5,5,5,5,0,0,0,3,2,1,4,0.0,0,1,2,0.0048053,1
1,2,0,2,4,4,4,5,0,1,1,2,2,1,1,0.0,0,3,1,0.00135,1
1,1,0,2,3,4,4,3,0,1,1,2,1,2,4,0.0,0,2,3,0.0021176470588235292,1
1,2,0,2,4,4,4,4,0,1,1,1,2,3,3,33.33,0,2,2,0.00013853333333333333,1
2,2,1,2,5,5,5,5,1,0,1,3,3,4,1,29.17,0,3,3,0.001171955357142857,3
2,2,1,0,4,3,4,3,1,0,0,2,2,2,2,0.0,0,3,3,0.00145,1
2,1,0,2,4,4,4,4,0,0,0,2,1,1,7,0.0,0,3,3,0.009437666666666665,1
2,2,0,2,3,4,4,4,1,1,1,2,3,2,1,27.78,0,3,1,0.0008688111111111111,1
2,2,1,2,4,3,5,4,0,1,1,3,2,2,4,33.33,0,2,4,0.0002763188888888889,1
2,2,1,2,5,5,5,5,0,0,0,3,2,1,2,7.94,0,2,3,0.004656412698412699,1
2,2,0,2,3,3,5,3,1,1,1,2,2,5,3,5.71,0,1,1,0.02857142285714286,3
1,0,0,2,3,4,4,4,1,1,0,1,2,1,4,0.0,0,2,3,0.000575,3
2,2,0,2,4,5,4,3,0,0,1,2,2,1,1,0.0,0,2,3,0.0038594000000000002,1
2,1,0,2,4,3,3,5,0,1,0,2,2,2,3,76.92,1,3,1,0.0010698461538461539,1
2,2,1,2,4,3,4,4,0,0,0,2,2,6,3,30.0,1,3,4,0.00064035,1
2,2,1,2,5,5,5,5,1,0,1,2,1,5,3,17.65,0,3,4,0.0004700470588235294,1
2,0,0,2,4,4,5,5,0,0,1,1,2,4,4,0.0,1,2,2,0.00045,1
2,2,1,2,4,4,5,3,0,1,1,3,2,2,2,21.74,1,3,4,0.0009565217391304347,1
2,2,1,2,5,4,5,5,0,1,1,2,2,6,1,0.0,1,3,1,0.0129208,1
2,2,0,2,5,5,5,5,0,1,1,2,2,3,4,58.33,0,2,2,0.0004570833333333333,1
2,2,0,2,5,4,5,4,1,0,1,3,2,5,4,6.15,0,3,4,0.0003247184615384616,1
2,2,0,1,4,4,4,4,1,1,1,2,2,2,3,0.0,1,3,2,0.00044993548387096776,1
2,2,1,2,4,5,3,3,0,0,0,3,2,1,3,12.5,0,3,4,0.0103025,1
2,0,0,2,5,5,4,5,0,0,0,1,2,1,4,44.44,0,3,3,0.0017777777777777779,1
2,2,1,2,4,3,4,3,0,0,1,2,2,3,4,50.0,0,2,3,0.0006225,1
2,2,0,2,4,4,5,5,1,1,1,3,2,1,4,0.0,0,2,1,0.0066,1
2,2,1,2,5,5,5,5,0,0,1,2,2,5,1,0.0,0,5,3,0.3124999375,1
2,2,1,2,4,5,5,4,0,0,0,1,1,5,6,0.0,0,2,2,0.001,1
2,2,0,2,5,5,5,4,0,1,1,1,2,4,3,0.0,1,2,2,0.000695,1
2,2,1,0,4,5,5,4,0,1,1,2,2,5,4,5.0,1,2,3,0.00038201666666666664,1
1,2,0,2,3,4,4,3,0,0,0,2,2,2,3,20.0,0,3,4,0.001815,1
1,0,0,2,3,5,5,4,1,1,1,1,2,4,3,10.0,1,3,3,0.0004688333333333333,1
2,2,0,1,3,4,4,3,0,1,1,2,2,4,3,30.0,1,3,1,0.00047982,1
2,2,1,2,4,4,4,4,0,0,0,2,2,1,3,20.0,0,1,2,0.0027043,1
1,2,0,2,5,4,5,5,1,1,1,1,3,1,3,71.43,0,2,4,0.000391,3
1,2,0,0,5,5,5,4,0,0,0,1,2,1,3,0.0,0,2,2,0.01252,1
1,2,0,2,4,5,4,4,1,1,1,1,2,3,2,0.0,0,2,2,0.00051185,1
2,1,0,2,4,4,5,4,1,1,1,3,1,3,4,0.0,1,2,3,0.0009333333333333333,1
1,2,0,2,4,5,4,5,1,1,1,2,1,1,7,0.0,0,2,1,0.0033,2
2,2,0,0,4,5,5,4,1,0,0,1,2,1,3,0.0,0,1,2,0.0011,1
2,1,0,2,4,3,3,3,0,0,0,1,2,5,3,23.33,1,2,1,0.0002611,1
2,2,1,2,3,3,5,4,0,1,1,2,2,2,3,36.67,0,3,3,0.0007333333333333333,1
2,2,1,2,5,5,5,5,0,0,1,2,2,1,6,0.0,0,3,1,0.5555554444444445,1
2,2,0,2,4,4,5,5,0,0,1,1,2,5,3,16.67,0,3,1,0.27777772222222225,1
2,2,1,2,5,5,5,5,0,0,1,2,2,6,4,12.5,0,1,1,0.000725,1
2,2,0,2,4,4,4,3,0,1,1,3,3,3,4,12.5,0,2,2,0.0063496,1
2,2,1,2,5,4,5,4,0,1,1,2,1,5,2,49.38,0,2,1,0.000688641975308642,1
2,0,1,2,5,5,5,5,1,0,1,1,1,4,7,0.0,0,4,3,0.002154,1
2,2,0,2,5,5,5,4,0,1,1,1,3,3,3,40.0,0,2,3,0.00083628,1
2,2,1,2,5,4,5,5,0,0,1,3,2,4,4,30.0,1,3,1,0.00075,1
2,2,0,2,4,4,5,5,0,0,1,2,2,2,1,22.22,0,2,1,0.22222217777777778,1
1,2,0,2,4,5,4,5,1,0,1,2,3,1,3,0.0,1,3,3,0.001615,1
2,2,0,2,3,4,4,4,1,1,1,1,3,3,3,25.0,0,4,2,0.0004415,1
2,2,0,2,4,4,4,4,1,1,1,1,2,5,3,14.29,1,2,1,0.00038857142857142855,1
2,2,0,2,5,5,5,4,0,0,0,2,2,1,2,25.0,0,2,3,0.006725,1
2,2,0,2,5,4,5,4,0,1,1,2,2,4,4,30.0,0,3,3,0.00044619,1
2,2,1,2,5,4,5,4,0,1,1,3,3,1,1,0.0,0,4,5,0.0022457831325301205,1
2,2,0,2,5,5,5,5,0,1,1,1,2,2,4,40.0,0,1,3,0.000195,1
2,2,0,2,4,4,5,4,0,1,1,2,2,5,1,8.33,0,3,4,0.0008430333333333334,1
2,2,0,2,3,4,4,3,0,1,0,2,1,6,4,3.75,1,3,3,0.000631775,1
2,2,1,2,4,4,4,3,1,1,1,3,3,3,1,44.44,1,1,4,0.0012666666666666668,1
2,2,0,2,4,4,5,5,0,0,1,3,2,2,4,3.33,0,3,1,0.3333332666666667,1
2,2,0,1,4,4,5,4,0,0,0,1,2,3,3,0.0,0,4,3,0.5555554444444445,1
2,2,1,2,4,3,3,3,0,1,1,2,1,6,3,0.0,0,2,1,0.00246275,1
2,2,1,2,5,5,3,2,0,0,0,3,2,1,1,3.85,0,4,3,0.009690076923076925,1
2,1,0,2,4,5,4,4,0,1,1,2,2,4,3,71.43,1,2,2,0.00039504285714285714,1
2,1,1,2,4,5,5,4,0,1,1,1,2,3,1,50.0,1,2,3,0.16666663333333334,1
2,2,0,2,5,5,5,4,0,0,1,2,2,5,3,23.08,1,3,1,0.15384612307692308,1
2,2,1,2,4,3,5,4,1,0,1,2,2,4,3,20.0,0,2,1,0.01,1
2,2,1,2,5,4,5,4,0,1,1,3,2,5,4,7.14,0,3,3,0.0005350357142857143,1
2,2,1,2,5,5,5,5,1,1,1,3,2,6,1,4.44,0,3,2,0.0015739888888888888,1
2,1,0,2,4,3,3,4,1,1,1,1,2,5,3,0.0,1,2,3,0.00015222222222222224,1
1,0,0,0,5,4,5,4,0,0,0,1,3,5,7,0.0,1,2,2,0.0007243999999999999,1
1,2,0,2,4,5,4,4,0,0,1,2,2,3,3,33.33,0,4,1,0.00024222222222222223,1
2,1,0,2,2,3,3,3,0,0,1,2,2,2,4,50.0,0,3,3,0.001,1
1,1,0,2,2,3,3,2,0,0,1,2,2,2,3,0.0,0,4,4,0.0056388666666666665,1
2,1,1,2,5,5,5,5,0,1,1,2,2,2,3,0.0,0,2,2,0.0002664942528735632,1
1,2,0,2,4,4,4,4,1,1,1,1,2,3,3,45.45,0,3,1,0.0002431818181818182,1
2,2,1,2,5,5,5,4,1,1,1,2,2,2,4,40.0,1,1,2,0.0006666666666666666,1
2,2,1,2,3,3,4,3,0,0,1,2,2,2,3,76.0,1,2,1,0.000756,1
2,2,1,1,3,2,5,3,1,0,0,2,2,2,4,30.0,0,3,3,0.09999998,1
1,2,0,0,4,4,3,3,1,1,1,1,3,4,4,0.0,0,1,3,0.00042627999999999996,1
2,2,1,2,5,5,5,5,0,0,1,3,1,2,4,0.0,0,3,1,0.00152,1
2,1,0,2,4,4,5,4,0,0,1,2,3,2,4,50.0,0,2,2,0.0026511,1
2,0,0,0,4,4,5,4,0,1,1,1,2,3,4,12.0,0,3,3,0.00036963999999999996,1
2,2,0,2,4,4,4,4,0,0,1,1,2,4,4,0.0,1,3,2,0.9999998,1
2,2,0,2,5,5,5,5,0,1,1,2,2,3,4,11.43,1,2,2,0.0008371428571428572,1
2,2,0,2,4,5,4,4,0,1,1,2,2,6,6,0.0,0,2,2,0.0027908000000000004,1
2,0,1,2,5,4,5,5,0,1,1,1,1,3,6,0.0,0,2,3,0.000187375,2
2,2,0,2,5,4,5,4,0,1,1,2,2,4,3,0.0,1,2,2,0.0004642857142857143,1
1,2,0,2,4,4,5,5,1,1,1,2,2,4,3,26.67,0,4,4,0.0004991333333333333,1
2,0,1,0,4,4,3,4,1,1,0,2,2,6,4,0.0,1,3,1,0.39999992,1
2,2,0,2,4,5,5,5,0,0,1,1,3,1,3,0.0,0,2,3,0.0008831538461538462,1
2,2,0,2,5,5,4,5,0,1,1,2,3,1,3,0.0,0,3,2,0.004378166666666667,1
2,2,1,2,5,5,5,5,0,0,1,3,2,2,3,40.0,1,2,3,0.19999996,1
2,2,0,2,5,5,4,4,0,1,1,2,2,1,3,0.0,0,2,2,0.14583333333333334,1
1,2,0,2,5,4,3,3,0,1,1,2,3,2,3,40.0,0,3,4,0.003260466666666667,1
2,2,0,2,4,4,4,4,1,0,1,2,3,2,3,44.44,0,4,2,0.22222217777777778,1
2,2,1,2,4,5,4,5,0,0,1,1,1,6,1,55.56,1,4,3,0.00011526111111111111,1
1,0,0,0,4,4,4,4,1,1,1,1,2,3,5,0.0,0,2,4,0.0016833333333333333,1
2,2,1,2,4,4,4,4,0,0,1,3,3,1,1,2.22,0,3,4,0.006,1
1,0,0,2,5,5,5,5,1,1,1,1,1,6,3,10.34,0,1,1,0.00033448275862068964,3
2,2,1,2,4,4,4,4,0,0,0,2,3,2,1,30.0,0,4,4,0.000822,1
2,2,0,2,4,4,3,4,1,0,1,2,3,2,1,31.25,0,2,2,0.124999975,1
2,2,0,1,4,4,4,3,0,0,1,2,3,2,3,50.0,0,2,2,0.0005,1
2,1,1,2,3,4,3,3,0,1,1,2,2,3,1,22.86,1,3,3,0.0016824285714285713,1
2,2,0,0,5,5,5,5,0,1,1,2,2,4,3,0.0,1,2,2,0.0009173300000000001,1
2,2,1,2,3,3,4,3,1,1,1,2,2,5,3,20.0,1,2,3,0.00045759333333333333,1
2,1,0,2,3,4,4,4,0,0,0,2,2,1,3,0.0,0,2,3,0.004878100000000001,1
2,2,1,2,4,4,4,3,0,1,1,3,2,5,1,30.0,1,2,2,0.00102,1
1,2,0,2,4,4,4,4,0,0,1,1,2,2,3,66.67,0,2,2,0.00056025,1
